team	jerseyNo	age	height	weight
Can	1	4	1.19	53.1
Can	2	6	1.25	48.2
Can	3	7	1.28	48.4
Can	4	4	1.26	48.4
Can	5	4	1.22	54.6
Can	6	6	1.23	49
Can	7	4	1.23	50
Can	8	7	1.33	51.1
Can	9	7	1.20	56
Can	10	7	1.26	60.6
Can	11	5	1.26	58.6
Can	12	6	1.39	58.4
Can	13	7	1.27	55.3
Can	14	7	1.26	50.5
Can	15	4	1.20	45.7
Can	16	5	1.28	65.2
Can	17	4	1.19	41.7
Can	18	7	1.25	57.1
Can	19	5	1.25	55.1
Can	20	7	1.32	54.8
Can	21	4	1.16	47.2
Can	22	7	1.27	53.1
Can	23	6	1.28	51.2
Can	24	6	1.34	55
Can	25	4	1.21	57.1
Fla	1	12	1.60	73.4
Fla	2	12	1.58	79.6
Fla	3	10	1.43	80.3
Fla	4	13	1.55	79.8
Fla	5	13	1.61	74.5
Fla	6	11	1.56	80.3
Fla	7	11	1.49	75.5
Fla	8	11	1.54	68.2
Fla	9	12	1.59	77.3
Fla	10	10	1.54	77.5
Fla	11	14	1.66	79.9
Fla	12	10	1.55	68.7
Fla	13	12	1.64	70.3
Fla	14	12	1.57	76
Fla	15	11	1.48	79.6
Fla	16	13	1.58	76.5
Fla	17	12	1.60	70.6
Fla	18	10	1.50	74.9
Fla	19	10	1.57	70.6
Fla	20	11	1.58	82.6
Fla	21	11	1.63	81.5
Fla	22	14	1.64	83.5
Fla	23	11	1.52	80.7
Fla	24	10	1.48	78.3
Fla	25	14	1.71	74.9
Oil	1	18	1.80	99.1
Oil	2	25	2.04	110.2
Oil	3	23	1.86	106.8
Oil	4	24	2.01	103.2
Oil	5	25	1.91	104.4
Oil	6	24	2.04	110
Oil	7	24	1.94	108
Oil	8	20	1.88	97.2
Oil	9	24	1.92	111.1
Oil	10	22	1.86	99.7
Oil	11	18	1.73	96.1
Oil	12	19	1.83	96.4
Oil	13	24	2.00	107.6
Oil	14	23	1.94	103.6
Oil	15	21	1.90	118.1
Oil	16	21	1.88	97.5
Oil	17	19	1.76	90.2
Oil	18	19	1.86	112.5
Oil	19	20	1.85	105.6
Oil	20	24	2.05	110.6
Oil	21	25	1.91	108.4
Oil	22	24	1.90	108.6
Oil	23	25	1.97	101.4
Oil	24	19	1.83	106.8
Oil	25	24	1.94	110.6
